structure,PC1,PC2,cluster_id,cluster_name,cluster_colour,cluster_hex_colour
bit_1939,4.0158202581207165,2.206690100760914,1,2,orange,#ff7f00
bit_1940,15.416383980785277,-13.678387664448406,0,1,green,#4daf4a
bit_1941,-8.34420669281476,11.994408309868094,1,2,orange,#ff7f00
bit_1942,-1.7182339320585742,-11.400547269699825,2,3,pink,#f781bf
bit_1943,-9.411477860131722,12.45174946469492,1,2,orange,#ff7f00
bit_1944,-2.012966971184945,-9.218294841408213,2,3,pink,#f781bf
bit_1945,8.205451960229844,0.4113396105128684,0,1,green,#4daf4a
bit_1946,-12.206873735635972,-5.502641694334703,3,4,blue,#8f81f7
bit_1947,-15.034673701643127,-4.529314935698747,3,4,blue,#8f81f7
bit_1948,-10.1421368789829,-1.25334966270404,3,4,blue,#8f81f7
bit_1949,21.260511166472952,-4.929395527386704,0,1,green,#4daf4a
bit_1950,2.928478873585418,11.787166512835562,1,2,orange,#ff7f00
bit_1951,-14.254247287839386,-2.497263221043621,3,4,blue,#8f81f7
bit_1952,-7.424924859228964,-12.287263732040245,2,3,pink,#f781bf
bit_1953,-15.272920922406536,-4.479314752783016,3,4,blue,#8f81f7
bit_1954,7.851618389334162,17.72981815928634,1,2,orange,#ff7f00
bit_1955,2.504945133947784,19.562970219343963,1,2,orange,#ff7f00
bit_1956,18.335017392698667,-0.4663732603528062,0,1,green,#4daf4a
bit_1957,24.39670051846887,2.7897756252749506,0,1,green,#4daf4a
bit_1958,-14.22626041859456,-4.081850400301234,3,4,blue,#8f81f7
bit_1959,-15.034673701643127,-4.529314935698747,3,4,blue,#8f81f7
bit_1960,-8.904542950061336,-13.039167997939442,2,3,pink,#f781bf
bit_1961,-8.528631419739764,-13.146864956181306,2,3,pink,#f781bf
bit_1962,-7.925255493107961,-10.272146540531914,2,3,pink,#f781bf
bit_1963,-14.494827441792582,-5.192111687518695,3,4,blue,#8f81f7
bit_1964,-5.6699678257478086,15.522774317999136,1,2,orange,#ff7f00
bit_1965,-3.4444008428067674,-10.546116477369358,2,3,pink,#f781bf
bit_1966,19.394820023387695,-5.643135864315058,0,1,green,#4daf4a
bit_1967,-14.617144325847608,-4.309625258141889,3,4,blue,#8f81f7
bit_1968,4.84747553896994,9.207387819494857,1,2,orange,#ff7f00
bit_1969,10.485112489382498,18.908283922529645,1,2,orange,#ff7f00
bit_1970,10.873731612688792,13.382717799666862,1,2,orange,#ff7f00
bit_1971,-5.700742773819536,9.048659160795063,1,2,orange,#ff7f00
bit_1972,-0.6123424748429673,-12.490963112039996,2,3,pink,#f781bf
bit_1973,-2.146905290092372,8.850827949482852,1,2,orange,#ff7f00
bit_1974,-1.2514002911586188,-12.621281837085878,2,3,pink,#f781bf
bit_1975,-8.505726239582739,-13.719234206164264,2,3,pink,#f781bf
bit_1976,-8.144204770149614,4.640894763216775,3,4,blue,#8f81f7
bit_1977,-15.272920922406536,-4.479314752783016,3,4,blue,#8f81f7
bit_1978,18.484369312326777,2.115879635546573,0,1,green,#4daf4a
bit_1979,-11.636625738350316,6.7320636862091865,3,4,blue,#8f81f7
bit_1980,-6.429285852388322,-12.016488394261934,2,3,pink,#f781bf
bit_1981,-4.367169366046066,-14.460326763099392,2,3,pink,#f781bf
bit_1982,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_1983,13.65786628571914,-0.5610850131338622,0,1,green,#4daf4a
bit_1984,19.910568305571665,-1.9067317852046408,0,1,green,#4daf4a
bit_1985,-15.272920922406536,-4.479314752783016,3,4,blue,#8f81f7
bit_1986,-2.114622534507149,15.482100942403417,1,2,orange,#ff7f00
bit_1987,21.53944193243544,-3.480387085604735,0,1,green,#4daf4a
bit_1988,-3.450132986338464,16.328990840497717,1,2,orange,#ff7f00
bit_1989,-2.114622534507149,15.482100942403417,1,2,orange,#ff7f00
bit_1990,-6.382634856470584,12.676637435858328,1,2,orange,#ff7f00
bit_1991,19.507514124526704,-0.6350517744142152,0,1,green,#4daf4a
bit_1992,-7.146143222197797,-11.69951487899388,2,3,pink,#f781bf
bit_1993,18.41753512073548,-12.183299821967635,0,1,green,#4daf4a
bit_1994,-14.203334904656437,-2.9985477432817427,3,4,blue,#8f81f7
bit_1995,18.319956859291537,-6.169972733015248,0,1,green,#4daf4a
bit_1996,22.446659822359727,2.896538285746738,0,1,green,#4daf4a
bit_1997,-5.454598217372208,-9.48683378294518,2,3,pink,#f781bf
bit_1998,0.0098814759738039,12.656706707839142,1,2,orange,#ff7f00
bit_1999,19.96169670190921,-1.512560354074212,0,1,green,#4daf4a
bit_2000,-9.004867383522233,1.963370254901441,3,4,blue,#8f81f7
bit_2001,20.76151370334654,-5.208913831126517,0,1,green,#4daf4a
bit_2002,-6.055086934387866,4.871066222774357,1,2,orange,#ff7f00
bit_2003,-11.414972949151371,-0.3159487066808384,3,4,blue,#8f81f7
bit_2004,14.30463537845418,-3.477795719349928,0,1,green,#4daf4a
bit_2005,-11.211308070284772,5.020949249414244,3,4,blue,#8f81f7
bit_2006,4.032120872540756,19.435114057971685,1,2,orange,#ff7f00
bit_2007,-8.914697089815652,5.783020059734656,1,2,orange,#ff7f00
bit_2008,10.035183724813605,-0.9505536146801062,0,1,green,#4daf4a
bit_2009,8.346877962280876,6.5568816419697376,1,2,orange,#ff7f00
bit_2010,13.7979363664925,-12.234207161993355,0,1,green,#4daf4a
bit_2011,11.688389926304314,-1.9852601312825835,0,1,green,#4daf4a
bit_2012,-5.71742100595274,-11.811729315124325,2,3,pink,#f781bf
bit_2013,-15.922993284871458,-3.502018895457003,3,4,blue,#8f81f7
bit_2014,-0.6123424748429673,-12.490963112039996,2,3,pink,#f781bf
bit_2015,19.011065481075374,-1.5244464637723445,0,1,green,#4daf4a
bit_2016,-15.420692645029394,-4.838620402385047,3,4,blue,#8f81f7
bit_2017,-7.431287542196218,13.010990400414178,1,2,orange,#ff7f00
bit_2018,13.612591422044432,-1.6195217086733311,0,1,green,#4daf4a
bit_2019,-5.87381365248032,7.839100228333146,1,2,orange,#ff7f00
bit_2020,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_2021,19.66242292997428,-1.5350696507412178,0,1,green,#4daf4a
bit_2022,-13.954337951385911,-4.096567649911204,3,4,blue,#8f81f7
bit_2023,6.389886370953757,20.934283424905168,1,2,orange,#ff7f00
bit_2024,-14.020246823769323,-3.705019759541527,3,4,blue,#8f81f7
bit_2025,-7.365378669812808,12.619442510044498,1,2,orange,#ff7f00
bit_2026,0.8205876539570301,20.46656926375837,1,2,orange,#ff7f00
bit_2027,-15.034673701643127,-4.529314935698747,3,4,blue,#8f81f7
bit_2028,-12.00392536577437,-3.0651167268681814,3,4,blue,#8f81f7
bit_2029,-3.084860705313787,-9.184139579949614,2,3,pink,#f781bf
bit_2030,-0.221162228158879,17.11630916993624,1,2,orange,#ff7f00
bit_2031,22.68864418645974,-2.957380706698656,0,1,green,#4daf4a
bit_2032,-17.34410313893905,0.415881944797291,3,4,blue,#8f81f7
bit_2033,8.049434702687616,-4.685904143818772,0,1,green,#4daf4a
bit_2034,-8.353050321447482,13.153508994940072,1,2,orange,#ff7f00
bit_2035,-17.444134545902013,-1.824289352884344,3,4,blue,#8f81f7
bit_2036,14.534498983850742,3.2324141847810326,0,1,green,#4daf4a
bit_2037,-7.688903152712927,-12.598958201504471,2,3,pink,#f781bf
bit_2038,19.892726979080027,-1.257498423636149,0,1,green,#4daf4a
bit_2039,-7.157513249805891,2.971816297589119,3,4,blue,#8f81f7
bit_2040,-8.182064262279717,-13.337332332879113,2,3,pink,#f781bf
bit_2041,-13.98676690310662,-2.85976711592688,3,4,blue,#8f81f7
bit_2042,23.20234630602381,1.6173450989740847,0,1,green,#4daf4a
bit_2043,-8.024841497227772,-12.934529796460772,2,3,pink,#f781bf
bit_2044,21.04033069413494,-1.691370902916496,0,1,green,#4daf4a
bit_2045,-3.394662071946536,13.203161390654016,1,2,orange,#ff7f00
bit_2046,15.489150819184571,-6.692068120587205,0,1,green,#4daf4a
bit_2047,-13.251054404476838,-2.8978231408328767,3,4,blue,#8f81f7
bit_2048,19.128247137731385,6.854277321068178,0,1,green,#4daf4a
bit_2049,-14.30630875915437,-3.7837187581231975,3,4,blue,#8f81f7
bit_2050,-14.254247287839386,-2.497263221043621,3,4,blue,#8f81f7
bit_2051,-6.973406149340807,4.720488001544452,1,2,orange,#ff7f00
bit_2052,-14.192585172149318,-4.046567466995473,3,4,blue,#8f81f7
bit_2053,-15.33872409479832,-4.451143129532073,3,4,blue,#8f81f7
bit_2054,-8.571212249668047,3.767681779215692,3,4,blue,#8f81f7
bit_2055,-8.073927501477652,11.9324420845913,1,2,orange,#ff7f00
bit_2056,-5.474805909397911,-10.17237689040663,2,3,pink,#f781bf
